Scorpion ID,Odor source,Odor location,Arm selected,group,match
pm13,scorpion predator,L,R,untreated,nope
pm8,scorpion predator,L,R,untreated,nope
pm2,scorpion predator,L,R,untreated,nope
pm17,scorpion predator,L,R,untreated,nope
pm4,scorpion predator,R,L,untreated,nope
pm10,scorpion predator,R,L,untreated,nope
pm5,scorpion predator,R,L,untreated,nope
pm6,scorpion predator,R,L,untreated,nope
pm14,scorpion predator,L,L,untreated,yep
pm9,scorpion predator,L,R,untreated,nope
pm15,scorpion predator,L,R,untreated,nope
pm7,scorpion predator,R,L,untreated,nope
pm12,scorpion predator,R,L,untreated,nope
pm4b,scorpion predator,R,L,untreated,nope
pm27b,scorpion predator,R,R,untreated,yep
pm40b,scorpion predator,L,L,untreated,nope
pm50b,scorpion predator,R,R,untreated,yep
pm55b,scorpion predator,R,L,untreated,nope
pm21b,scorpion predator,R,L,untreated,nope
pm10b,scorpion predator,L,R,untreated,nope
pm18b,scorpion predator,L,R,untreated,nope
pm13b,scorpion predator,L,R,untreated,nope
pm25b,scorpion predator,R,R,untreated,yep
pm41b,scorpion predator,R,L,untreated,nope
pm1b,scorpion predator,R,L,untreated,nope
pm39b,Control (marble ball),L,L,marble,nope
pm37b,Control (marble ball),R,R,marble,yep
pm36b,Control (marble ball),L,L,marble,yep
pm35b,Control (marble ball),R,L,marble,nope
pm34b,Control (marble ball),L,R,marble,nope
pm33b,Control (marble ball),R,L,marble,nope
pm32b,Control (marble ball),L,L,marble,yep
pm31b,Control (marble ball),R,R,marble,yep
pm24b,Control (marble ball),L,L,marble,yep
pm16b,Control (marble ball),R,L,marble,nope
pm15b,Control (marble ball),L,R,marble,nope
pm7b,Control (marble ball),R,R,marble,yep
pm6b,Control (marble ball),L,R,marble,nope
pm52b,Control (marble ball),R,L,marble,nope
pm20b,Control (marble ball),L,L,marble,yep
pm19b,Control (marble ball),R,R,marble,yep
pm12b,Control (marble ball),L,R,marble,nope
pm9b,Control (marble ball),R,R,marble,yep
pm44b,Control (marble ball),L,R,marble,nope
pm42b,Control (marble ball),R,R,marble,yep
pm43b,Control (marble ball),L,R,marble,nope
pm1_painted (control),scorpion predator,L,R,footPainted,nope
pm2_painted (control),scorpion predator,R,L,footPainted,nope
pm3_painted (control),scorpion predator,L,L,footPainted,yep
pm4_painted (control),scorpion predator,R,L,footPainted,nope
pm5_painted (control),scorpion predator,L,R,footPainted,nope
pm6_painted (control),scorpion predator,R,L,footPainted,nope
pm7_painted (control),scorpion predator,L,R,footPainted,nope
pm8_painted (control),scorpion predator,R,L,footPainted,nope
pm9_painted (control),scorpion predator,L,R,footPainted,nope
pm10_painted (control),scorpion predator,R,L,footPainted,nope
pm11_painted (control),scorpion predator,L,R,footPainted,nope
pm12_painted (control),scorpion predator,R,R,footPainted,yep
pm13_painted (control),scorpion predator,L,R,footPainted,nope
pm14_painted (control),scorpion predator,R,L,footPainted,nope
pm15_painted (control),scorpion predator,L,R,footPainted,nope
pm55b_painted (control),scorpion predator,R,L,footPainted,nope
pm21b_painted (control),scorpion predator,R,L,footPainted,nope
pm10b_painted (control),scorpion predator,L,R,footPainted,nope
pm18b_painted (control),scorpion predator,L,R,footPainted,nope
pm13b_painted (control),scorpion predator,L,R,footPainted,nope
pm16_painted (control),scorpion predator,R,L,footPainted,nope
pm17_painted (control),scorpion predator,R,L,footPainted,nope
pm18_painted (control),scorpion predator,L,R,footPainted,nope
pm19b_painted (control),scorpion predator,L,L,footPainted,yep
pm20b_painted (control),scorpion predator,R,L,footPainted,nope
pm21_painted (control),scorpion predator,L,R,footPainted,nope
pm1_painted (treatment),scorpion predator,L,R,nosePainted,nope
pm2_painted (treatment),scorpion predator,R,R,nosePainted,yep
pm3_painted (treatment),scorpion predator,L,L,nosePainted,yep
pm4_painted(treatment),scorpion predator,R,R,nosePainted,yep
pm5_painted (treatment),scorpion predator,L,R,nosePainted,nope
pm6_painted (treatment),scorpion predator,R,L,nosePainted,nope
pm7_painted (treatment),scorpion predator,L,L,nosePainted,yep
pm8_painted (treatment),scorpion predator,R,R,nosePainted,yep
pm9_painted (treatment),scorpion predator,L,L,nosePainted,yep
pm10_painted (treatment),scorpion predator,R,R,nosePainted,yep
pm11_painted (treatment),scorpion predator,L,L,nosePainted,yep
pm12_painted (treatment),scorpion predator,R,R,nosePainted,yep
pm13_painted (treatment),scorpion predator,L,L,nosePainted,yep
pm14_painted (treatment),scorpion predator,R,L,nosePainted,nope
pm15_painted (treatment),scorpion predator,L,L,nosePainted,yep
pm27b_painted (treatment),scorpion predator,R,R,nosePainted,yep
pm40b_painted (treatment),scorpion predator,L,L,nosePainted,yep
pm50b_painted (treatment),scorpion predator,R,R,nosePainted,yep
pm25b_painted (treatment),scorpion predator,R,R,nosePainted,yep
pm14b_painted (treatment),scorpion predator,L,R,nosePainted,nope
pm16_painted (treatmnet),scorpion predator,R,L,nosePainted,nope
pm17_painted (treatmnet),scorpion predator,R,L,nosePainted,nope
pm18_painted (treatmnet),scorpion predator,L,R,nosePainted,nope
pm30_painted (treatmnet),scorpion predator,L,R,nosePainted,nope
pm31_painted (treatmnet),scorpion predator,R,L,nosePainted,nope
pm41_painted (treatmnet),scorpion predator,L,R,nosePainted,nope
